Date,Close,stock
"Nov 13, 2024",224.58,"48,566,200"
"Nov 12, 2024",223.69,"40,398,300"
"Nov 11, 2024",223.69,"42,005,600"
"Nov 8, 2024",226.41,"38,328,800"
"Nov 7, 2024",226.68,"42,137,700"
"Nov 6, 2024",221.94,"54,561,100"
"Nov 5, 2024",222.67,"28,111,300"
"Nov 4, 2024",221.23,"44,944,500"
"Nov 1, 2024",222.13,"65,276,700"
"Oct 31, 2024",225.12,"64,370,100"
"Oct 30, 2024",229.29,"47,070,900"
"Oct 29, 2024",232.85,"35,417,200"
"Oct 28, 2024",232.58,"36,087,100"
"Oct 25, 2024",230.60,"38,802,300"
"Oct 24, 2024",229.76,"31,109,500"
"Oct 23, 2024",229.95,"52,287,000"
"Oct 22, 2024",235.03,"38,846,600"
"Oct 21, 2024",235.65,"36,254,500"
"Oct 18, 2024",234.18,"46,431,500"
"Oct 17, 2024",231.34,"32,993,800"
"Oct 16, 2024",230.97,"34,082,200"
"Oct 15, 2024",233.03,"64,751,400"
"Oct 14, 2024",230.49,"39,882,100"
"Oct 11, 2024",226.75,"31,759,200"
"Oct 10, 2024",228.24,"28,183,500"
"Oct 9, 2024",228.74,"33,591,100"
"Oct 8, 2024",224.98,"31,855,700"
"Oct 7, 2024",220.91,"39,505,400"
"Oct 4, 2024",226.01,"37,245,100"
"Oct 3, 2024",224.88,"34,044,200"
"Oct 2, 2024",225.99,"32,880,600"
"Oct 1, 2024",225.42,"63,285,000"
"Sep 30, 2024",232.18,"54,541,900"
"Sep 27, 2024",226.99,"34,026,000"
"Sep 26, 2024",226.72,"36,636,700"
"Sep 25, 2024",225.58,"42,308,700"
"Sep 24, 2024",226.57,"43,556,100"
"Sep 23, 2024",225.68,"54,146,000"
"Sep 20, 2024",227.40,"318,679,900"
"Sep 19, 2024",228.07,"66,781,300"
"Sep 18, 2024",219.92,"59,894,900"
"Sep 17, 2024",216.03,"45,519,300"
"Sep 16, 2024",215.56,"59,357,400"
"Sep 13, 2024",221.72,"36,766,600"
"Sep 12, 2024",221.99,"37,498,200"
"Sep 11, 2024",221.88,"44,587,100"
"Sep 10, 2024",219.34,"51,591,000"
"Sep 9, 2024",220.14,"67,180,000"
"Sep 6, 2024",220.05,"48,423,000"
"Sep 5, 2024",221.60,"36,615,400"
"Sep 4, 2024",220.08,"43,840,200"
"Sep 3, 2024",221.99,"50,190,600"
"Aug 30, 2024",228.20,"52,990,800"
"Aug 29, 2024",228.99,"51,906,300"
"Aug 28, 2024",225.70,"38,052,200"
"Aug 27, 2024",227.23,"35,934,600"
"Aug 26, 2024",226.38,"30,602,200"
"Aug 23, 2024",226.05,"38,677,300"
"Aug 22, 2024",223.74,"43,695,300"
"Aug 21, 2024",225.61,"34,765,500"
"Aug 20, 2024",225.72,"30,299,000"
"Aug 19, 2024",225.10,"40,687,800"
"Aug 16, 2024",225.26,"44,340,200"
"Aug 15, 2024",223.93,"46,414,000"
"Aug 14, 2024",220.94,"41,960,600"
"Aug 13, 2024",220.49,"44,155,300"
"Aug 12, 2024",216.77,"38,028,100"
"Aug 9, 2024",215.23,"42,201,600"
"Aug 8, 2024",212.32,"47,161,100"
"Aug 7, 2024",208.84,"63,516,400"
"Aug 6, 2024",206.27,"69,660,500"
"Aug 5, 2024",208.30,"119,548,600"
"Aug 2, 2024",218.84,"105,568,600"
"Aug 1, 2024",217.34,"62,501,000"
"Jul 31, 2024",221.05,"50,036,300"
"Jul 30, 2024",217.78,"41,643,800"
"Jul 29, 2024",217.22,"36,311,800"
"Jul 26, 2024",216.95,"41,601,300"
"Jul 25, 2024",216.48,"51,391,200"
"Jul 24, 2024",217.52,"61,777,600"
"Jul 23, 2024",223.96,"39,960,300"
"Jul 22, 2024",222.92,"48,201,800"
"Jul 19, 2024",223.27,"49,151,500"
"Jul 18, 2024",223.14,"66,034,600"
"Jul 17, 2024",227.81,"57,345,900"
"Jul 16, 2024",233.73,"43,234,300"
"Jul 15, 2024",233.31,"62,631,300"
"Jul 12, 2024",229.47,"53,046,500"
"Jul 11, 2024",226.51,"64,710,600"
"Jul 10, 2024",231.90,"62,627,700"
"Jul 9, 2024",227.62,"48,076,100"
